,precision,recall,f1-score,support
angry,0.18356867779204109,0.10445580715850986,0.13314711359404097,1369.0
disgust,0.050239234449760764,0.045454545454545456,0.04772727272727272,462.0
happy,0.3091499729290742,0.2515418502202643,0.27738644644158367,2270.0
sad,0.2857142857142857,0.4645917907081642,0.35383029886636896,2217.0
surprise,0.20896717373899118,0.1651898734177215,0.1845174973488865,1580.0
accuracy,0.25652063813623704,0.25652063813623704,0.25652063813623704,0.25652063813623704
macro avg,0.2075278689248306,0.20624677339184108,0.19932172579563057,7898.0
weighted avg,0.24561701578858822,0.25652063813623704,0.24183021655236994,7898.0
