,precision,recall,f1-score,support
0,0.26785714285714285,0.03287070854638422,0.05855562784645413,1369.0
1,0.125,0.017316017316017316,0.030418250950570342,462.0
2,0.42369395310571784,0.45374449339207046,0.4382046373112104,2270.0
3,0.3644834930777423,0.6175011276499774,0.45839611585467943,2217.0
4,0.48005409060175797,0.44936708860759494,0.4642039882314482,1580.0
accuracy,0.4003545201316789,0.4003545201316789,0.4003545201316789,0.4003545201316789
macro avg,0.3322177359284722,0.3141598871024089,0.2899557240388725,7898.0
weighted avg,0.37386389838257034,0.4003545201316789,0.3594133835670954,7898.0
