,precision,recall,f1-score,support
0,0.7501951600312255,0.701972242512783,0.7252830188679245,1369.0
1,0.8033826638477801,0.8225108225108225,0.8128342245989304,462.0
2,0.8966442953020134,0.8828193832599119,0.8896781354051054,2270.0
3,0.7903494176372712,0.8570139828597203,0.822332828392123,2217.0
4,0.9222591362126246,0.8784810126582279,0.8998379254457052,1580.0
accuracy,0.8398328690807799,0.8398328690807799,0.8398328690807799,0.8398328690807799
macro avg,0.832566134606183,0.8285594887602932,0.8299932265419578,7898.0
weighted avg,0.8410909862286363,0.8398328690807799,0.8398160337698195,7898.0
